mo_id,mo_name,total_orgs,working_orgs,closed_orgs
49,Оккервиль,9,5,4
48,Невский округ,8,2,6
45,Рыбацкое,6,6,0
42,Невская застава,4,3,1
43,Ивановский,3,2,1
46,Народный,2,2,0
50,Правобережный,2,1,1
