mo_id,mo_name,total_orgs,working_orgs,closed_orgs
3,N 65,13,5,8
6,Озеро Долгое,13,7,6
5,Комендантский Аэродром,6,4,2
7,Юнтолово,4,2,2
8,Коломяги,2,0,2
2,Лахта-Ольгино,1,1,0
