mo_id,mo_name,total_orgs,working_orgs,closed_orgs
77,Аптекарский Остров,8,6,2
75,Кронверкское,3,1,2
78,Петровский,3,2,1
76,Посадский,2,2,0
79,Чкаловское,2,1,1
74,Введенский,1,1,0
