mo_id,mo_name,total_orgs,working_orgs,closed_orgs
81,Сенной округ,8,5,3
85,Екатерингофский,4,2,2
84,Измайловское,3,2,1
83,Семеновский,2,1,1
80,Коломна,1,1,0
82,Адмиралтейский округ,1,1,0
