mo_id,mo_name,total_orgs,working_orgs,closed_orgs
54,Автово,6,2,4
52,Ульянка,5,5,0
53,Дачное,5,4,1
51,Княжево,4,3,1
56,Красненькая речка,3,3,0
55,Нарвский округ,2,2,0
