mo_id,mo_name,total_orgs,working_orgs,closed_orgs
34,Шувалово-Озерки,9,8,1
31,Сосновское,5,5,0
33,Сергиевское,5,1,4
28,Парголово,4,3,1
32,N 15,4,2,2
30,Светлановское,3,0,3
29,Сампсониевское,1,1,0
