mo_id,mo_name,total_orgs,working_orgs,closed_orgs
37,Финляндский округ,8,4,4
38,N 21,6,6,0
36,Академическое,4,3,1
41,Прометей,2,1,1
35,Гражданка,1,1,0
39,Пискаревка,1,1,0
40,Северный,1,1,0
