mo_id,mo_name,total_orgs,working_orgs,closed_orgs
61,Смольнинское,10,6,4
63,Владимирский округ,10,5,5
60,Литейный округ,8,6,2
59,N 78,4,3,1
62,Лиговка-Ямская,3,2,1
58,Дворцовый округ,2,2,0
