mo_id,mo_name,total_orgs,working_orgs,closed_orgs
11,Южно-Приморский,9,7,2
13,Урицк,5,3,2
12,Сосновая Поляна,2,2,0
14,Константиновское,2,0,2
15,Горелово,2,1,1
