mo_id,mo_name,total_orgs,working_orgs,closed_orgs
18,Малая Охта,9,5,4
19,Пороховые,9,5,4
16,Полюстрово,4,2,2
17,Большая Охта,3,3,0
20,Ржевка,1,1,0
