district_id,age,both,male,female
16, 8–13,5911,3079,2832
16, 14–15,1526,797,729
16, 16–17,1294,656,638
16, 18–19,1480,678,802
16, 20–24,4074,2246,1828
16, 25–29,3900,2009,1891
16, 30–34,5308,2630,2678
16, 35–39,7651,3728,3923
16, 40–44,7470,3631,3839
16, 45–49,5840,2870,2970
16, 50–54,5301,2554,2747
16, 55–59,5139,2341,2798
16, 60–64,6321,2687,3634
16, 65–69,5773,2441,3332
16, 70 и старше,10786,3844,6942
11, до 1 года,3109,1608,1501
11, 1,3130,1623,1507
11, 0–2,9411,4845,4566
11, 3–5,9467,4881,4586
11, 6,3459,1726,1733
11, 1–6,19228,9844,9384
11, 7,3575,1803,1772
11, 8–13,19616,10104,9512
11, 14–15,5300,2702,2598
11, 16–17,4584,2326,2258
11, 18–19,5244,2426,2818
11, 20–24,18939,8951,9988
11, 25–29,16642,7616,9026
11, 30–34,22695,10523,12172
11, 35–39,30292,14219,16073
11, 40–44,27427,12619,14808
11, 45–49,23923,10801,13122
11, 50–54,22690,10009,12681
11, 55–59,22068,9529,12539
11, 60–64,24118,9764,14354
11, 65–69,21105,7653,13452
11, 70 и старше,42601,12654,29947
7, до 1 года,5221,2767,2454
7, 1,5178,2683,2495
7, 0–2,15532,8073,7459
7, 3–5,15403,7978,7425
7, 6,6100,3153,2947
7, 1–6,31814,16437,15377
7, 7,6660,3448,3212
7, 8–13,35814,18521,17293
7, 14–15,9314,4731,4583
7, 16–17,8067,4152,3915
7, 18–19,8944,4387,4557
7, 20–24,28377,14481,13896
7, 25–29,28370,13400,14970
7, 30–34,39920,19050,20870
7, 35–39,55696,26979,28717
7, 40–44,48034,23078,24956
7, 45–49,39648,18405,21243
7, 50–54,36223,16463,19760
7, 55–59,34004,14589,19415
7, 60–64,39626,15749,23877
7, 65–69,34344,12474,21870
7, 70 и старше,58754,17719,41035
12, до 1 года,897,482,415
12, 1,941,477,464
12, 0–2,2511,1286,1225
12, 3–5,2182,1139,1043
12, 6,768,386,382
12, 1–6,4564,2329,2235
12, 7,812,414,398
12, 8–13,5169,2586,2583
12, 14–15,1527,795,732
12, 16–17,1751,877,874
12, 18–19,2426,1185,1241
12, 20–24,13102,9066,4036
12, 25–29,7066,3737,3329
12, 30–34,8417,3978,4439
12, 35–39,10988,5171,5817
12, 40–44,9784,4618,5166
12, 45–49,8582,3974,4608
12, 50–54,7946,3758,4188
12, 55–59,7059,3194,3865
12, 60–64,7022,3093,3929
12, 65–69,6601,2728,3873
12, 70 и старше,11601,4233,7368
17, до 1 года,963,488,475
17, 1,963,487,476
17, 0–2,2887,1462,1425
17, 3–5,3220,1611,1609
17, 6,1316,687,629
17, 1–6,6460,3272,3188
17, 7,1392,696,696
17, 8–13,7974,4063,3911
17, 14–15,2417,1254,1163
17, 16–17,2167,1087,1080
17, 18–19,3636,1764,1872
17, 20–24,12347,8024,4323
17, 25–29,5759,3188,2571
17, 30–34,7475,3670,3805
17, 35–39,10795,5252,5543
17, 40–44,10348,4927,5421
17, 45–49,9078,4172,4906
17, 50–54,8572,3916,4656
17, 55–59,8016,3600,4416
17, 60–64,9548,3880,5668
17, 65–69,9086,3546,5540
17, 70 и старше,17138,5360,11778
1, до 1 года,5803,3054,2749
1, 1,6159,3156,3003
1, 0–2,18888,9692,9196
1, 3–5,20630,10567,10063
1, 6,7315,3744,3571
1, 1–6,41030,20949,20081
1, 7,8158,4193,3965
1, 8–13,45190,23262,21928
1, 14–15,12098,6294,5804
1, 16–17,10217,5179,5038
1, 18–19,11044,5227,5817
1, 20–24,38216,18798,19418
1, 25–29,36671,17317,19354
1, 30–34,52739,24634,28105
1, 35–39,76260,36500,39760
1, 40–44,65186,31057,34129
1, 45–49,51765,24135,27630
1, 50–54,43583,20160,23423
1, 55–59,40394,17585,22809
1, 60–64,48770,19572,29198
1, 65–69,44593,17066,27527
1, 70 и старше,72358,23873,48485
18, до 1 года,2695,1400,1295
18, 1,2555,1282,1273
18, 0–2,8243,4206,4037
18, 3–5,9377,4788,4589
18, 6,3426,1781,1645
18, 1–6,18351,9375,8976
18, 7,3967,2044,1923
18, 8–13,21655,11187,10468
18, 14–15,5947,2996,2951
18, 16–17,5340,2729,2611
18, 18–19,6008,2763,3245
18, 20–24,16679,8881,7798
18, 25–29,12955,6517,6438
18, 30–34,17733,8481,9252
18, 35–39,24679,11501,13178
18, 40–44,24158,11534,12624
18, 45–49,21148,10385,10763
18, 50–54,18330,8982,9348
18, 55–59,16106,7493,8613
18, 60–64,16974,7084,9890
18, 65–69,14076,5299,8777
18, 70 и старше,23412,7107,16305
4, до 1 года,2972,1540,1432
4, 1,3162,1627,1535
4, 0–2,9393,4808,4585
4, 3–5,9816,4975,4841
4, 6,3759,1896,1863
4, 1–6,19996,10139,9857
4, 7,4240,2233,2007
4, 8–13,24538,12636,11902
4, 14–15,7101,3631,3470
4, 16–17,6337,3239,3098
4, 18–19,7130,3319,3811
4, 20–24,24108,11881,12227
4, 25–29,19581,9832,9749
4, 30–34,25688,12669,13019
4, 35–39,36154,17611,18543
4, 40–44,34293,16097,18196
4, 45–49,31939,15029,16910
4, 50–54,30510,14015,16495
4, 55–59,27242,12026,15216
4, 60–64,28496,11553,16943
4, 65–69,25771,9279,16492
4, 70 и старше,56823,16470,40353
9, до 1 года,1252,731,521
9, 1,1256,628,628
9, 0–2,4017,2100,1917
9, 3–5,4819,2469,2350
9, 6,1832,919,913
9, 1–6,9416,4757,4659
9, 7,1906,948,958
9, 8–13,11121,5700,5421
9, 14–15,3057,1552,1505
9, 16–17,2814,1365,1449
9, 18–19,2908,1357,1551
