org_id,district_id,district_name,is_work
98677,1,Приморский,0
98684,1,Приморский,0
98717,4,Фрунзенский,0
98765,1,Приморский,0
98770,1,Приморский,0
98923,4,Фрунзенский,0
98927,8,Кировский,0
98940,8,Кировский,0
98998,8,Кировский,0
99005,8,Кировский,0
99011,8,Кировский,0
99061,11,Московский,0
99082,11,Московский,0
99118,13,Адмиралтейский,0
99200,13,Адмиралтейский,0
100207,12,Петроградский,0
100831,11,Московский,0
101158,7,Невский,0
101199,7,Невский,0
101207,7,Невский,0
124764,13,Адмиралтейский,0
125678,4,Фрунзенский,0
125780,4,Фрунзенский,0
125782,4,Фрунзенский,0
125839,4,Фрунзенский,0
125885,4,Фрунзенский,0
125952,4,Фрунзенский,0
149218,5,Выборгский,0
149255,5,Выборгский,0
149259,5,Выборгский,0
149350,6,Калининский,0
149388,5,Выборгский,0
149390,5,Выборгский,0
149399,5,Выборгский,0
149415,5,Выборгский,0
149483,5,Выборгский,0
149538,5,Выборгский,0
160686,9,Центральный,0
160697,9,Центральный,0
160819,10,Василеостровский,0
160834,10,Василеостровский,0
161220,9,Центральный,0
161273,12,Петроградский,0
161447,5,Выборгский,0
163174,4,Фрунзенский,0
163912,1,Приморский,0
167399,1,Приморский,0
176007,3,Красногвардейский,0
176129,13,Адмиралтейский,0
176146,10,Василеостровский,0
176203,7,Невский,0
176317,1,Приморский,0
176367,3,Красногвардейский,0
176408,4,Фрунзенский,0
176465,7,Невский,0
176475,10,Василеостровский,0
176488,8,Кировский,0
176492,10,Василеостровский,0
176518,4,Фрунзенский,0
176530,2,Красносельский,0
176562,2,Красносельский,0
176937,11,Московский,0
176944,11,Московский,0
176997,2,Красносельский,0
177117,11,Московский,0
177202,9,Центральный,0
177253,11,Московский,0
177291,9,Центральный,0
177394,1,Приморский,0
177555,12,Петроградский,0
177820,2,Красносельский,0
178123,1,Приморский,0
178195,3,Красногвардейский,0
178207,7,Невский,0
178269,7,Невский,0
178351,3,Красногвардейский,0
178459,3,Красногвардейский,0
178466,3,Красногвардейский,0
178955,7,Невский,0
179059,1,Приморский,0
179315,12,Петроградский,0
180498,1,Приморский,0
180515,1,Приморский,0
180543,13,Адмиралтейский,0
207872,1,Приморский,0
217056,7,Невский,0
217338,3,Красногвардейский,0
217781,1,Приморский,0
218077,6,Калининский,0
218188,2,Красносельский,0
218431,7,Невский,0
219191,7,Невский,0
219203,3,Красногвардейский,0
248853,6,Калининский,0
249853,7,Невский,0
250072,6,Калининский,0
290388,2,Красносельский,0
293463,6,Калининский,0
294747,6,Калининский,0
294760,3,Красногвардейский,0
294820,3,Красногвардейский,0
378087,5,Выборгский,0
4222427,2,Красносельский,0
4237384,7,Невский,0
4436165,9,Центральный,0
