org_id,district_id,mo_id,district_name,mo_name,is_work
176339,3,19,Красногвардейский,Пороховые,1
176347,13,85,Адмиралтейский,Екатерингофский,1
176363,3,19,Красногвардейский,Пороховые,1
176365,3,19,Красногвардейский,Пороховые,1
176402,1,5,Приморский,Комендантский Аэродром,1
176458,11,70,Московский,Гагаринское,1
176484,10,66,Василеостровский,Гавань,1
176546,2,13,Красносельский,Урицк,1
176575,2,12,Красносельский,Сосновая Поляна,1
176648,4,23,Фрунзенский,Купчино,1
176659,8,52,Кировский,Ульянка,1
176751,4,26,Фрунзенский,Балканский,1
176950,8,55,Кировский,Нарвский округ,1
176979,9,58,Центральный,Дворцовый округ,1
177162,8,53,Кировский,Дачное,1
177198,9,59,Центральный,N 78,1
177234,11,69,Московский,Московская Застава,1
177435,12,75,Петроградский,Кронверкское,1
177474,2,11,Красносельский,Южно-Приморский,1
177757,4,26,Фрунзенский,Балканский,1
177783,2,11,Красносельский,Южно-Приморский,1
177800,2,11,Красносельский,Южно-Приморский,1
177961,13,81,Адмиралтейский,Сенной округ,1
178024,13,81,Адмиралтейский,Сенной округ,1
178039,7,42,Невский,Невская застава,1
178124,7,45,Невский,Рыбацкое,1
178145,2,11,Красносельский,Южно-Приморский,1
178147,14,87,Колпинский,Металлострой,1
178178,3,17,Красногвардейский,Большая Охта,1
178280,7,48,Невский,Невский округ,1
179040,13,81,Адмиралтейский,Сенной округ,1
180303,7,42,Невский,Невская застава,1
180527,1,7,Приморский,Юнтолово,1
193061,7,43,Невский,Ивановский,1
193363,7,46,Невский,Народный,1
193375,7,46,Невский,Народный,1
201667,5,32,Выборгский,N 15,1
207792,1,5,Приморский,Комендантский Аэродром,1
207877,1,5,Приморский,Комендантский Аэродром,1
207914,3,18,Красногвардейский,Малая Охта,1
213965,11,72,Московский,Пулковский меридиан,1
214206,3,20,Красногвардейский,Ржевка,1
216110,7,45,Невский,Рыбацкое,1
216130,7,45,Невский,Рыбацкое,1
216143,7,45,Невский,Рыбацкое,1
216637,4,22,Фрунзенский,N 72,1
216711,6,37,Калининский,Финляндский округ,1
216767,9,61,Центральный,Смольнинское,1
216893,9,61,Центральный,Смольнинское,1
217038,2,12,Красносельский,Сосновая Поляна,1
217066,9,58,Центральный,Дворцовый округ,1
217076,9,59,Центральный,N 78,1
217100,2,11,Красносельский,Южно-Приморский,1
217355,3,18,Красногвардейский,Малая Охта,1
218443,7,49,Невский,Оккервиль,1
242140,1,5,Приморский,Комендантский Аэродром,1
248868,6,37,Калининский,Финляндский округ,1
248883,6,37,Калининский,Финляндский округ,1
248897,6,39,Калининский,Пискаревка,1
249830,7,50,Невский,Правобережный,1
249856,7,49,Невский,Оккервиль,1
291834,2,15,Красносельский,Горелово,1
294839,3,16,Красногвардейский,Полюстрово,1
379681,3,16,Красногвардейский,Полюстрово,1
379921,3,17,Красногвардейский,Большая Охта,1
531036,3,17,Красногвардейский,Большая Охта,1
4213543,9,60,Центральный,Литейный округ,1
4222087,11,73,Московский,Звездное,1
4223106,2,11,Красносельский,Южно-Приморский,1
4224733,5,31,Выборгский,Сосновское,1
4239670,1,3,Приморский,N 65,1
4240243,1,2,Приморский,Лахта-Ольгино,1
49493,9,60,Центральный,Литейный округ,2
49612,11,73,Московский,Звездное,2
49753,9,60,Центральный,Литейный округ,2
76446,9,61,Центральный,Смольнинское,2
76561,12,77,Петроградский,Аптекарский Остров,2
76590,12,78,Петроградский,Петровский,2
76822,9,63,Центральный,Владимирский округ,2
76827,9,63,Центральный,Владимирский округ,2
79493,1,3,Приморский,N 65,2
79510,1,3,Приморский,N 65,2
79517,1,3,Приморский,N 65,2
89421,11,73,Московский,Звездное,2
98161,13,85,Адмиралтейский,Екатерингофский,2
98191,18,111,Пушкинский,Шушары,2
98210,11,73,Московский,Звездное,2
98214,11,70,Московский,Гагаринское,2
98253,4,23,Фрунзенский,Купчино,2
98286,10,64,Василеостровский,N 7,2
98304,10,66,Василеостровский,Гавань,2
