_name,total
Адмиралтейский район,163591
муниципальный округ Коломна,40302
муниципальный округ Сенной округ,23010
муниципальный округ Адмиралтейский округ,23593
муниципальный округ Семеновский,24232
муниципальный округ Измайловское,27287
муниципальный округ Екатерингофский,25167
Василеостровский район,209587
муниципальный округ N 7,41223
муниципальный округ Васильевский,33216
муниципальный округ Гавань,36799
муниципальный округ округ Морской,35487
муниципальный округ Остров Декабристов,62862
Выборгский район,509592
поселок Левашово,4914
поселок Парголово,59195
муниципальный округ Сампсониевское,41653
муниципальный округ Светлановское,86558
муниципальный округ Сосновское,68920
муниципальный округ N 15,66130
муниципальный округ Парнас,69384
муниципальный округ Шувалово-Озерки,112838
Калининский район,538258
муниципальный округ Гражданка,76338
муниципальный округ Академическое,110419
муниципальный округ Финляндский округ,76670
муниципальный округ N 21,81117
муниципальный округ Пискаревка,63114
муниципальный округ Северный,55034
муниципальный округ Прометей,75566
Кировский район,336404
муниципальный округ Княжево,60564
муниципальный округ Ульянка,75260
муниципальный округ Дачное,72510
муниципальный округ Автово,45120
муниципальный округ Нарвский округ,31733
муниципальный округ Красненькая речка,40948
муниципальный округ Морские ворота,10269
Колпинский район,188688
г. Колпино,145721
поселок Металлострой,29230
поселок Петро-Славянка,1326
поселок Понтонный,9007
поселок Саперный,1570
поселок Усть-Ижора,1834
Красногвардейский район,357906
муниципальный округ Полюстрово,54591
муниципальный округ Большая Охта,57068
муниципальный округ Малая Охта,48092
муниципальный округ Пороховые,137246
муниципальный округ Ржевка,60909
Красносельский район,383111
г. Красное Село,56758
муниципальный округ Юго-Запад,68393
муниципальный округ Южно-Приморский,75204
муниципальный округ Сосновая Поляна,55822
муниципальный округ Урицк,58799
муниципальный округ Константиновское,38462
муниципальный округ Горелово,29673
Кронштадтский район,44401
г. Кронштадт,44401
Курортный район,76923
г. Зеленогорск,15292
г. Сестрорецк,41160
поселок Белоостров,2235
поселок Комарово,1301
поселок Молодежное,1705
поселок Песочный,8980
поселок Репино,2847
поселок Серово,279
поселок Смолячково,848
поселок Солнечное,1589
поселок Ушково,687
Московский район,350602
муниципальный округ Московская Застава,53875
муниципальный округ Гагаринское,69778
муниципальный округ Новоизмайловское,94135
муниципальный округ Пулковский меридиан,52274
муниципальный округ Звездное,80540
Невский район,519433
муниципальный округ Невская застава,32715
муниципальный округ Ивановский,30492
муниципальный округ Обуховский,51246
муниципальный округ Рыбацкое,62458
муниципальный округ Народный,65144
муниципальный округ N 54,68592
муниципальный округ Невский округ,67753
муниципальный округ Оккервиль,66067
муниципальный округ Правобережный,74966
Петроградский район,134787
муниципальный округ Введенский,20304
муниципальный округ Кронверкское,21058
муниципальный округ Посадский,21814
муниципальный округ Аптекарский Остров,21234
муниципальный округ округ Петровский,22231
муниципальный округ Чкаловское,28146
Петродворцовый район,140949
г. Ломоносов,43191
г. Петергоф,82940
поселок Стрельна,14818
Приморский район,565442
поселок Лисий Нос,4851
муниципальный округ Лахта-Ольгино,4397
муниципальный округ N 65,145182
муниципальный округ Черная речка,59968
муниципальный округ Комендантский Аэродром,90658
муниципальный округ Озеро Долгое,99782
муниципальный округ Юнтолово,114184
муниципальный округ Коломяги,46420
Пушкинский район,208702
г. Павловск,17653
поселок Тярлево,1352
г. Пушкин,109885
поселок Александровская,2744
поселок Шушары,77068
Фрунзенский район,401410
муниципальный округ Волковское,59248
муниципальный округ N 72,67888
муниципальный округ Купчино,53158
муниципальный округ Георгиевский,90511
муниципальный округ N 75,52420
муниципальный округ Балканский,78185
Центральный район,222149
муниципальный округ Дворцовый округ,6985
муниципальный округ N 78,11513
муниципальный округ Литейный округ,46344
муниципальный округ Смольнинское,79293
муниципальный округ Лиговка-Ямская,16964
муниципальный округ Владимирский округ,61050
