_name,total
Адмиралтейский район,159795
Муниципальный округ Коломна,39306
Муниципальный округ Сенной округ,22394
Муниципальный округ Адмиралтейский округ,23084
Муниципальный округ Семеновский,23667
Муниципальный округ Измайловское,26732
Муниципальный округ Екатерингофский,24612
Василеостровский район,207482
Муниципальный округ N 7,40988
Муниципальный округ Васильевский,33067
Муниципальный округ Гавань,36451
Муниципальный округ округ Морской,35088
Муниципальный округ Остров Декабристов,61888
Выборгский район,522746
Поселок Левашово,5315
Поселок Парголово,76418
Муниципальный округ Сампсониевское,41561
Муниципальный округ Светлановское,85243
Муниципальный округ Сосновское,68132
Муниципальный округ N 15,65336
Муниципальный округ Сергиевское,68555
Муниципальный округ Шувалово-Озерки,112186
Калининский район,529187
Муниципальный округ Гражданка,74807
Муниципальный округ Академическое,108361
Муниципальный округ Финляндский округ,75332
Муниципальный округ N 21,79525
Муниципальный округ Пискаревка,62695
Муниципальный округ Северный,54106
Муниципальный округ Прометей,74361
Кировский район,336157
Муниципальный округ Княжево,60507
Муниципальный округ Ульянка,75142
Муниципальный округ Дачное,72252
Муниципальный округ Автово,45096
Муниципальный округ Нарвский округ,31854
Муниципальный округ Красненькая речка,41029
Муниципальный округ Морские ворота,10277
Колпинский район,193839
г. Колпино,149156
Поселок Металлострой,30479
Поселок Петро-Славянка,1380
Поселок Понтонный,9217
Поселок Саперный,1625
Поселок Усть-Ижора,1982
Красногвардейский район,356628
Муниципальный округ Полюстрово,54722
Муниципальный округ Большая Охта,56658
Муниципальный округ Малая Охта,47703
Муниципальный округ Пороховые,136678
Муниципальный округ Ржевка,60867
Красносельский район,408026
г. Красное Село,59066
Муниципальный округ Юго-Запад,68503
Муниципальный округ Южно-Приморский,88810
Муниципальный округ Сосновая Поляна,62216
Муниципальный округ Урицк,58294
Муниципальный округ Константиновское,38701
Муниципальный округ Горелово,32436
Кронштадтский район,44461
г. Кронштадт,44461
Курортный район,79067
г. Зеленогорск,15322
г. Сестрорецк,43055
Поселок Белоостров,2295
Поселок Комарово,1313
Поселок Молодежное,1710
Поселок Песочный,9079
Поселок Репино,2951
Поселок Серово,281
Поселок Смолячково,844
Поселок Солнечное,1514
Поселок Ушково,703
Московский район,352172
Муниципальный округ Московская Застава,54305
Муниципальный округ Гагаринское,69679
Муниципальный округ Новоизмайловское,94339
Муниципальный округ Пулковский меридиан,52409
Муниципальный округ Звездное,81440
Невский район,536137
Муниципальный округ Невская застава,33763
Муниципальный округ Ивановский,31395
Муниципальный округ Обуховский,53060
Муниципальный округ Рыбацкое,64772
Муниципальный округ Народный,67591
Муниципальный округ N 54,70224
Муниципальный округ Невский округ,69796
Муниципальный округ Оккервиль,67659
Муниципальный округ Правобережный,77877
Петроградский район,128075
Муниципальный округ Введенский,19211
Муниципальный округ Кронверкское,19979
Муниципальный округ Посадский,20690
Муниципальный округ Аптекарский Остров,20209
Муниципальный округ округ Петровский,21122
Муниципальный округ Чкаловское,26864
Петродворцовый район,143823
г. Ломоносов,43235
г. Петергоф,85717
Поселок Стрельна,14871
Приморский район,573024
Поселок Лисий Нос,4663
Муниципальный округ Лахта-Ольгино,4617
Муниципальный округ N 65,148280
Муниципальный округ Ланское,60123
Муниципальный округ Комендантский аэродром,91050
Муниципальный округ Озеро Долгое,100744
Муниципальный округ Юнтолово,115611
Муниципальный округ Коломяги,47936
Пушкинский район,226336
г. Павловск,17409
Поселок Тярлево,1330
г. Пушкин,112674
Поселок Александровская,2807
Поселок Шушары,92116
Фрунзенский район,386537
Муниципальный округ Волковское,57207
Муниципальный округ N 72,65276
Муниципальный округ Купчино,50874
Муниципальный округ Георгиевский,87141
Муниципальный округ N 75,50900
Муниципальный округ Балканский,75139
Центральный район,214572
Муниципальный округ Дворцовый округ,6849
Муниципальный округ N 78,11078
Муниципальный округ Литейный округ,44687
Муниципальный округ Смольнинское,76708
Муниципальный округ Лиговка-Ямская,16434
Муниципальный округ Владимирский округ,58816
