_name,total
Адмиралтейский район,153735
муниципальный округ Коломна,37689
муниципальный округ Сенной округ,21416
муниципальный округ Адмиралтейский округ,22239
муниципальный округ Семеновский,22676
муниципальный округ Измайловское,25984
муниципальный округ Екатерингофский,23731
Василеостровский район,202288
муниципальный округ N 7,40103
муниципальный округ Васильевский,32358
муниципальный округ Гавань,35498
муниципальный округ Морской,34188
муниципальный округ Остров Декабристов,60141
Выборгский район,528147
поселок Левашово,5637
поселок Парголово,87661
муниципальный округ Сампсониевское,41487
муниципальный округ Светлановское,83539
муниципальный округ Сосновское,67024
муниципальный округ N 15,64321
муниципальный округ Сергиевское,67425
муниципальный округ Шувалово-Озерки,111053
Калининский район,512182
муниципальный округ Гражданка,72024
муниципальный округ Академическое,104723
муниципальный округ Финляндский округ,73123
муниципальный округ N 21,76640
муниципальный округ Пискаревка,61476
муниципальный округ Северный,52295
муниципальный округ Прометей,71901
Кировский район,325118
муниципальный округ Княжево,58606
муниципальный округ Ульянка,72592
муниципальный округ Дачное,69538
муниципальный округ Автово,43625
муниципальный округ Нарвский округ,31130
муниципальный округ Красненькая речка,39640
муниципальный округ Морские ворота,9987
Колпинский район,197253
г. Колпино,151718
поселок Металлострой,31227
поселок Петро-Славянка,1384
поселок Понтонный,9275
поселок Саперный,1612
поселок Усть-Ижора,2037
Красногвардейский район,354989
муниципальный округ Полюстрово,55075
муниципальный округ Большая Охта,56211
муниципальный округ Малая Охта,47266
муниципальный округ Пороховые,135944
муниципальный округ Ржевка,60493
Красносельский район,419779
г. Красное Село,61948
муниципальный округ Юго-Запад,66073
муниципальный округ Южно-Приморский,95250
муниципальный округ Сосновая Поляна,67596
муниципальный округ Урицк,56419
муниципальный округ Константиновское,37962
муниципальный округ Горелово,34531
Кронштадтский район,44290
г. Кронштадт,44290
Курортный район,79842
г. Зеленогорск,15138
г. Сестрорецк,43301
поселок Белоостров,2321
поселок Комарово,1322
поселок Молодежное,1698
поселок Песочный,9737
поселок Репино,3004
поселок Серово,278
поселок Смолячково,781
поселок Солнечное,1566
поселок Ушково,696
Московский район,342562
муниципальный округ Московская Застава,53072
муниципальный округ Гагаринское,67362
муниципальный округ Новоизмайловское,91627
муниципальный округ Пулковский меридиан,50666
муниципальный округ Звездное,79835
Невский район,540415
муниципальный округ Невская застава,33962
муниципальный округ Ивановский,31498
муниципальный округ Обуховский,53685
муниципальный округ Рыбацкое,65440
муниципальный округ Народный,68590
муниципальный округ N 54,70124
муниципальный округ Невский округ,70333
муниципальный округ Оккервиль,67816
муниципальный округ Правобережный,78967
Петроградский район,124132
муниципальный округ Введенский,18630
муниципальный округ Кронверкское,19263
муниципальный округ Посадский,20028
муниципальный округ Аптекарский Остров,19614
муниципальный округ округ Петровский,20546
муниципальный округ Чкаловское,26051
Петродворцовый район,142397
г. Ломоносов,42857
г. Петергоф,84815
поселок Стрельна,14725
Приморский район,585554
поселок Лисий Нос,4647
муниципальный округ Лахта-Ольгино,5035
муниципальный округ N 65,151905
муниципальный округ Ланское,60664
муниципальный округ Комендантский Аэродром,92196
муниципальный округ Озеро Долгое,102588
муниципальный округ Юнтолово,118208
муниципальный округ Коломяги,50311
Пушкинский район,233856
г. Павловск,17247
поселок Тярлево,1320
г. Пушкин,112472
поселок Александровская,2706
поселок Шушары,100111
Фрунзенский район,383799
муниципальный округ Волковское,56940
муниципальный округ N 72,64674
муниципальный округ Купчино,50156
муниципальный округ Георгиевский,86428
муниципальный округ N 75,51113
муниципальный округ Балканский,74488
Центральный район,207165
муниципальный округ Дворцовый округ,6659
муниципальный округ N 78,10661
муниципальный округ Литейный округ,43017
муниципальный округ Смольнинское,74152
муниципальный округ Лиговка-Ямская,15956
муниципальный округ Владимирский округ,56720
