_name,total
Адмиралтейский район,154424
муниципальный округ Коломна,33543
муниципальный округ Сенной округ,20342
муниципальный округ Адмиралтейский округ,23971
муниципальный округ Семеновский,22109
муниципальный округ Измайловское,32761
муниципальный округ Екатерингофский,21698
Василеостровский район,208720
муниципальный округ N 7,36749
муниципальный округ Васильевский,31937
муниципальный округ Гавань,41719
муниципальный округ Морской,36676
муниципальный округ Остров Декабристов,61639
Выборгский район,551925
поселок Левашово,6134
поселок Парголово,115762
муниципальный округ Сампсониевское,39654
муниципальный округ Светлановское,90456
муниципальный округ Сосновское,60831
муниципальный округ N 15,61428
муниципальный округ Сергиевское,60398
муниципальный округ Шувалово-Озерки,117262
Калининский район,532972
муниципальный округ Гражданка,67736
муниципальный округ Академическое,108955
муниципальный округ Финляндский округ,72500
муниципальный округ N 21,76698
муниципальный округ Пискаревка,82129
муниципальный округ Северный,48225
муниципальный округ Прометей,76729
Кировский район,329419
муниципальный округ Княжево,59414
муниципальный округ Ульянка,75768
муниципальный округ Дачное,70009
муниципальный округ Автово,42496
муниципальный округ Нарвский округ,33237
муниципальный округ Красненькая речка,38080
муниципальный округ Морские ворота,10415
Колпинский район,189870
г. Колпино,147179
поселок Металлострой,27592
поселок Петро-Славянка,2146
поселок Понтонный,8603
поселок Саперный,1733
поселок Усть-Ижора,2617
Красногвардейский район,368354
муниципальный округ Полюстрово,76707
муниципальный округ Большая Охта,58176
муниципальный округ Малая Охта,43319
муниципальный округ Пороховые,128807
муниципальный округ Ржевка,61345
Красносельский район,440817
г. Красное Село,61162
муниципальный округ Юго-Запад,58269
муниципальный округ Южно-Приморский,130109
муниципальный округ Сосновая Поляна,76863
муниципальный округ Урицк,49984
муниципальный округ Константиновское,35236
муниципальный округ Горелово,29194
Кронштадтский район,44655
г. Кронштадт,44655
Курортный район,84309
г. Зеленогорск,15568
г. Сестрорецк,46304
поселок Белоостров,2466
поселок Комарово,1476
поселок Молодежное,1588
поселок Песочный,9977
поселок Репино,3022
поселок Серово,301
поселок Смолячково,748
поселок Солнечное,2048
поселок Ушково,811
Московский район,333941
муниципальный округ Московская Застава,45013
муниципальный округ Гагаринское,65614
муниципальный округ Новоизмайловское,83286
муниципальный округ Пулковский меридиан,45710
муниципальный округ Звездное,94318
Невский район,556880
муниципальный округ Невская застава,28441
муниципальный округ Ивановский,27516
муниципальный округ Обуховский,57556
муниципальный округ Рыбацкое,71335
муниципальный округ Народный,81210
муниципальный округ N 54,68326
муниципальный округ Невский округ,70577
муниципальный округ Оккервиль,62501
муниципальный округ Правобережный,89418
Петроградский район,118213
муниципальный округ Введенский,15799
муниципальный округ Кронверкское,16881
муниципальный округ Посадский,16154
муниципальный округ Аптекарский Остров,21092
муниципальный округ округ Петровский,17932
муниципальный округ Чкаловское,30355
Петродворцовый район,134895
г. Ломоносов,38477
г. Петергоф,81767
поселок Стрельна,14651
Приморский район,714854
поселок Лисий Нос,6596
муниципальный округ Лахта-Ольгино,15968
муниципальный округ N 65,194361
муниципальный округ Ланское,70883
муниципальный округ Комендантский Аэродром,95484
муниципальный округ Озеро Долгое,92572
муниципальный округ Юнтолово,116908
муниципальный округ Коломяги,122082
Пушкинский район,277341
г. Павловск,18485
поселок Тярлево,1765
г. Пушкин,108969
поселок Александровская,3221
поселок Шушары,144901
Фрунзенский район,412471
муниципальный округ Волковское,61224
муниципальный округ N 72,67523
муниципальный округ Купчино,55794
муниципальный округ Георгиевский,91841
муниципальный округ Александровский,62485
муниципальный округ Балканский,73604
Центральный район,198862
муниципальный округ Дворцовый округ,7288
муниципальный округ N 78,8959
муниципальный округ Литейный округ,39786
муниципальный округ Смольнинское,73545
муниципальный округ Лиговка-Ямская,19523
муниципальный округ Владимирский округ,49761
