_name,total
Адмиралтейский район,154222
муниципальный округ Коломна,33530
муниципальный округ Сенной округ,20360
муниципальный округ Адмиралтейский округ,23945
муниципальный округ Семеновский,22123
муниципальный округ Измайловское,32593
муниципальный округ Екатерингофский,21671
Василеостровский район,205398
муниципальный округ N 7,36091
муниципальный округ Васильевский,31425
муниципальный округ Гавань,41047
муниципальный округ Морской,36080
муниципальный округ Остров Декабристов,60755
Выборгский район,543567
поселок Левашово,6101
поселок Парголово,111145
муниципальный округ Сампсониевское,39068
муниципальный округ Светлановское,89796
муниципальный округ Сосновское,60378
муниципальный округ N 15,60902
муниципальный округ Сергиевское,60031
муниципальный округ Шувалово-Озерки,116146
Калининский район,530745
муниципальный округ Гражданка,67654
муниципальный округ Академическое,108549
муниципальный округ Финляндский округ,72078
муниципальный округ N 21,76567
муниципальный округ Пискаревка,81396
муниципальный округ Северный,48022
муниципальный округ Прометей,76479
Кировский район,330811
муниципальный округ Княжево,59699
муниципальный округ Ульянка,76019
муниципальный округ Дачное,70462
муниципальный округ Автово,42639
муниципальный округ Нарвский округ,33260
муниципальный округ Красненькая речка,38302
муниципальный округ Морские ворота,10430
Колпинский район,188153
г. Колпино,145875
поселок Металлострой,27407
поселок Петро-Славянка,2097
поселок Понтонный,8552
поселок Саперный,1618
поселок Усть-Ижора,2604
Красногвардейский район,365491
муниципальный округ Полюстрово,75419
муниципальный округ Большая Охта,57831
муниципальный округ Малая Охта,43157
муниципальный округ Пороховые,128099
муниципальный округ Ржевка,60985
Красносельский район,434830
г. Красное Село,60306
муниципальный округ Юго-Запад,58402
муниципальный округ Южно-Приморский,128489
муниципальный округ Сосновая Поляна,73238
муниципальный округ Урицк,50257
муниципальный округ Константиновское,35619
муниципальный округ Горелово,28519
Кронштадтский район,44515
г. Кронштадт,44515
Курортный район,83742
г. Зеленогорск,15462
г. Сестрорецк,45935
поселок Белоостров,2440
поселок Комарово,1495
поселок Молодежное,1679
поселок Песочный,9869
поселок Репино,2940
поселок Серово,312
поселок Смолячково,815
поселок Солнечное,1992
поселок Ушково,803
Московский район,333156
муниципальный округ Московская Застава,44916
муниципальный округ Гагаринское,65624
муниципальный округ Новоизмайловское,83316
муниципальный округ Пулковский меридиан,45574
муниципальный округ Звездное,93726
Невский район,548830
муниципальный округ Невская застава,28050
муниципальный округ Ивановский,27157
муниципальный округ Обуховский,56679
муниципальный округ Рыбацкое,70132
муниципальный округ Народный,79762
муниципальный округ N 54,67469
муниципальный округ Невский округ,69494
муниципальный округ Оккервиль,61924
муниципальный округ Правобережный,88163
Петроградский район,115314
муниципальный округ Введенский,15440
муниципальный округ Кронверкское,16497
муниципальный округ Посадский,15788
муниципальный округ Аптекарский Остров,20583
муниципальный округ округ Петровский,17453
муниципальный округ Чкаловское,29553
Петродворцовый район,133171
г. Ломоносов,38558
г. Петергоф,80345
поселок Стрельна,14268
Приморский район,704075
поселок Лисий Нос,6508
муниципальный округ Лахта-Ольгино,15567
муниципальный округ N 65,191571
муниципальный округ Ланское,70100
муниципальный округ Комендантский Аэродром,94400
муниципальный округ Озеро Долгое,91526
муниципальный округ Юнтолово,115111
муниципальный округ Коломяги,119292
Пушкинский район,270213
г. Павловск,18097
поселок Тярлево,1695
г. Пушкин,108470
поселок Александровская,3104
поселок Шушары,138847
Фрунзенский район,412919
муниципальный округ Волковское,61193
муниципальный округ N 72,67637
муниципальный округ Купчино,55958
муниципальный округ Георгиевский,92071
муниципальный округ Александровский,62317
муниципальный округ Балканский,73743
Центральный район,198611
муниципальный округ Дворцовый округ,7273
муниципальный округ N 78,8978
муниципальный округ Литейный округ,39745
муниципальный округ Смольнинское,73451
муниципальный округ Лиговка-Ямская,19437
муниципальный округ Владимирский округ,49727
